household_type_id,ami_percentile,age_group,year,total_hh
More than one adult with no children,80,45-64,2007,12572
More than one adult with no children,80,45-64,2008,9612
More than one adult with no children,80,45-64,2009,11292
More than one adult with no children,80,45-64,2010,9935
More than one adult with no children,80,45-64,2011,10428
More than one adult with no children,80,45-64,2012,11225
More than one adult with no children,80,45-64,2013,11168
More than one adult with no children,80,45-64,2014,9321
More than one adult with no children,80,45-64,2015,12942
More than one adult with no children,80,45-64,2016,10684
More than one adult with no children,80,45-64,2017,11178
More than one adult with no children,80,45-64,2018,9780
More than one adult with no children,80,45-64,2019,12271
More than one adult with no children,80,45-64,2021,12167
More than one adult with no children,80,45-64,2022,13746
More than one adult with no children,80,45-64,2023,12868
More than one adult with no children,80,65 and over,2000,10039
More than one adult with no children,80,65 and over,2001,8734
More than one adult with no children,80,65 and over,2002,8473
More than one adult with no children,80,65 and over,2003,11509
More than one adult with no children,80,65 and over,2004,11749
More than one adult with no children,80,65 and over,2005,9004
More than one adult with no children,80,65 and over,2006,10724
More than one adult with no children,80,65 and over,2007,10234
More than one adult with no children,80,65 and over,2008,8159
More than one adult with no children,80,65 and over,2009,10090
More than one adult with no children,80,65 and over,2010,9962
More than one adult with no children,80,65 and over,2011,10386
More than one adult with no children,80,65 and over,2012,13282
More than one adult with no children,80,65 and over,2013,12317
More than one adult with no children,80,65 and over,2014,13970
More than one adult with no children,80,65 and over,2015,15452
More than one adult with no children,80,65 and over,2016,14558
More than one adult with no children,80,65 and over,2017,16405
More than one adult with no children,80,65 and over,2018,15402
More than one adult with no children,80,65 and over,2019,17283
More than one adult with no children,80,65 and over,2021,15695
More than one adult with no children,80,65 and over,2022,17873
More than one adult with no children,80,65 and over,2023,20205
One adult with children,80,18-24,2000,67
One adult with children,80,18-24,2001,NA
One adult with children,80,18-24,2002,553
One adult with children,80,18-24,2003,NA
One adult with children,80,18-24,2004,176
One adult with children,80,18-24,2005,131
One adult with children,80,18-24,2006,NA
One adult with children,80,18-24,2007,180
One adult with children,80,18-24,2008,115
One adult with children,80,18-24,2009,NA
One adult with children,80,18-24,2010,170
One adult with children,80,18-24,2011,NA
One adult with children,80,18-24,2012,240
One adult with children,80,18-24,2013,NA
One adult with children,80,18-24,2014,NA
One adult with children,80,18-24,2015,NA
One adult with children,80,18-24,2016,50
One adult with children,80,18-24,2017,NA
One adult with children,80,18-24,2018,NA
One adult with children,80,18-24,2019,NA
One adult with children,80,18-24,2021,NA
One adult with children,80,18-24,2022,NA
One adult with children,80,18-24,2023,NA
One adult with children,80,25-44,2000,4323
One adult with children,80,25-44,2001,5594
One adult with children,80,25-44,2002,3785
One adult with children,80,25-44,2003,7023
One adult with children,80,25-44,2004,6548
One adult with children,80,25-44,2005,4645
One adult with children,80,25-44,2006,4004
One adult with children,80,25-44,2007,4602
One adult with children,80,25-44,2008,5303
One adult with children,80,25-44,2009,6688
One adult with children,80,25-44,2010,4317
One adult with children,80,25-44,2011,6272
One adult with children,80,25-44,2012,6445
One adult with children,80,25-44,2013,5109
One adult with children,80,25-44,2014,6293
One adult with children,80,25-44,2015,4860
One adult with children,80,25-44,2016,3182
One adult with children,80,25-44,2017,4414
One adult with children,80,25-44,2018,3410
One adult with children,80,25-44,2019,2851
One adult with children,80,25-44,2021,3577
One adult with children,80,25-44,2022,3816
One adult with children,80,25-44,2023,6060
One adult with children,80,45-64,2000,3223
One adult with children,80,45-64,2001,2691
One adult with children,80,45-64,2002,2686
One adult with children,80,45-64,2003,2132
One adult with children,80,45-64,2004,1725
One adult with children,80,45-64,2005,2560
One adult with children,80,45-64,2006,4897
One adult with children,80,45-64,2007,4642
One adult with children,80,45-64,2008,4943
One adult with children,80,45-64,2009,3898
One adult with children,80,45-64,2010,2797
One adult with children,80,45-64,2011,3342
One adult with children,80,45-64,2012,4005
One adult with children,80,45-64,2013,3905
One adult with children,80,45-64,2014,4325
One adult with children,80,45-64,2015,3761
One adult with children,80,45-64,2016,3770
One adult with children,80,45-64,2017,5252
One adult with children,80,45-64,2018,3982
One adult with children,80,45-64,2019,3316
One adult with children,80,45-64,2021,5664
One adult with children,80,45-64,2022,4451
One adult with children,80,45-64,2023,2763
One adult with children,80,65 and over,2000,875
One adult with children,80,65 and over,2001,2160
One adult with children,80,65 and over,2002,177
One adult with children,80,65 and over,2003,1222
One adult with children,80,65 and over,2004,473
One adult with children,80,65 and over,2005,1239
One adult with children,80,65 and over,2006,570
One adult with children,80,65 and over,2007,1358
One adult with children,80,65 and over,2008,1075
One adult with children,80,65 and over,2009,658
One adult with children,80,65 and over,2010,577
One adult with children,80,65 and over,2011,1245
One adult with children,80,65 and over,2012,591
One adult with children,80,65 and over,2013,990
One adult with children,80,65 and over,2014,1588
One adult with children,80,65 and over,2015,1447
One adult with children,80,65 and over,2016,1421
One adult with children,80,65 and over,2017,1780
One adult with children,80,65 and over,2018,1367
One adult with children,80,65 and over,2019,1102
One adult with children,80,65 and over,2021,2888
One adult with children,80,65 and over,2022,1168
One adult with children,80,65 and over,2023,1167
One adult with no children	,80,18-24,2000,1294
One adult with no children	,80,18-24,2001,1916
One adult with no children	,80,18-24,2002,2683
One adult with no children	,80,18-24,2003,850
One adult with no children	,80,18-24,2004,2601
One adult with no children	,80,18-24,2005,1216
One adult with no children	,80,18-24,2006,1838
One adult with no children	,80,18-24,2007,868
One adult with no children	,80,18-24,2008,1446
One adult with no children	,80,18-24,2009,1692
One adult with no children	,80,18-24,2010,851
One adult with no children	,80,18-24,2011,1284
One adult with no children	,80,18-24,2012,2210
One adult with no children	,80,18-24,2013,1297
One adult with no children	,80,18-24,2014,1411
One adult with no children	,80,18-24,2015,1150
One adult with no children	,80,18-24,2016,1597
One adult with no children	,80,18-24,2017,985
One adult with no children	,80,18-24,2018,695
One adult with no children	,80,18-24,2019,1302
One adult with no children	,80,18-24,2021,1326
One adult with no children	,80,18-24,2022,2222
One adult with no children	,80,18-24,2023,2397
One adult with no children	,80,25-44,2000,16117
One adult with no children	,80,25-44,2001,17887
One adult with no children	,80,25-44,2002,14160
One adult with no children	,80,25-44,2003,14474
One adult with no children	,80,25-44,2004,14011
One adult with no children	,80,25-44,2005,11927
One adult with no children	,80,25-44,2006,13271
One adult with no children	,80,25-44,2007,8852
One adult with no children	,80,25-44,2008,12020
One adult with no children	,80,25-44,2009,12785
One adult with no children	,80,25-44,2010,8498
One adult with no children	,80,25-44,2011,11995
One adult with no children	,80,25-44,2012,11140
One adult with no children	,80,25-44,2013,10923
One adult with no children	,80,25-44,2014,13095
One adult with no children	,80,25-44,2015,10216
One adult with no children	,80,25-44,2016,10652
One adult with no children	,80,25-44,2017,9123
One adult with no children	,80,25-44,2018,11161
One adult with no children	,80,25-44,2019,13199
One adult with no children	,80,25-44,2021,12481
One adult with no children	,80,25-44,2022,19935
One adult with no children	,80,25-44,2023,18000
One adult with no children	,80,45-64,2000,12252
One adult with no children	,80,45-64,2001,14587
One adult with no children	,80,45-64,2002,11018
One adult with no children	,80,45-64,2003,9016
One adult with no children	,80,45-64,2004,12086
One adult with no children	,80,45-64,2005,9768
One adult with no children	,80,45-64,2006,13633
One adult with no children	,80,45-64,2007,14201
One adult with no children	,80,45-64,2008,12126
One adult with no children	,80,45-64,2009,13030
One adult with no children	,80,45-64,2010,9072
One adult with no children	,80,45-64,2011,15415
One adult with no children	,80,45-64,2012,11270
One adult with no children	,80,45-64,2013,12585
One adult with no children	,80,45-64,2014,12341
One adult with no children	,80,45-64,2015,15665
One adult with no children	,80,45-64,2016,14707
One adult with no children	,80,45-64,2017,11884
One adult with no children	,80,45-64,2018,11255
One adult with no children	,80,45-64,2019,13611
One adult with no children	,80,45-64,2021,10012
One adult with no children	,80,45-64,2022,12143
One adult with no children	,80,45-64,2023,12771
One adult with no children	,80,65 and over,2000,6442
One adult with no children	,80,65 and over,2001,3767
One adult with no children	,80,65 and over,2002,7473
One adult with no children	,80,65 and over,2003,4512
One adult with no children	,80,65 and over,2004,4617
One adult with no children	,80,65 and over,2005,6691
One adult with no children	,80,65 and over,2006,7668
One adult with no children	,80,65 and over,2007,5923
One adult with no children	,80,65 and over,2008,6609
One adult with no children	,80,65 and over,2009,5880
One adult with no children	,80,65 and over,2010,7856
One adult with no children	,80,65 and over,2011,8677
One adult with no children	,80,65 and over,2012,8448
One adult with no children	,80,65 and over,2013,9266
One adult with no children	,80,65 and over,2014,11001
One adult with no children	,80,65 and over,2015,7957
One adult with no children	,80,65 and over,2016,10075
One adult with no children	,80,65 and over,2017,9548
One adult with no children	,80,65 and over,2018,9628
One adult with no children	,80,65 and over,2019,12213
One adult with no children	,80,65 and over,2021,11629
One adult with no children	,80,65 and over,2022,11370
One adult with no children	,80,65 and over,2023,14337
More than one adult with children,90,18-24,2000,1355
More than one adult with children,90,18-24,2001,1128
More than one adult with children,90,18-24,2002,3463
More than one adult with children,90,18-24,2003,2403
More than one adult with children,90,18-24,2004,2494
More than one adult with children,90,18-24,2005,1695
More than one adult with children,90,18-24,2006,745
More than one adult with children,90,18-24,2007,516
More than one adult with children,90,18-24,2008,656
More than one adult with children,90,18-24,2009,828
More than one adult with children,90,18-24,2010,1016
More than one adult with children,90,18-24,2011,772
More than one adult with children,90,18-24,2012,293
More than one adult with children,90,18-24,2013,702
More than one adult with children,90,18-24,2014,1416
More than one adult with children,90,18-24,2015,1111
More than one adult with children,90,18-24,2016,351
More than one adult with children,90,18-24,2017,189
More than one adult with children,90,18-24,2018,756
More than one adult with children,90,18-24,2019,917
More than one adult with children,90,18-24,2021,422
More than one adult with children,90,18-24,2022,558
More than one adult with children,90,18-24,2023,458
More than one adult with children,90,25-44,2000,26285
More than one adult with children,90,25-44,2001,23146
More than one adult with children,90,25-44,2002,20819
More than one adult with children,90,25-44,2003,27777
More than one adult with children,90,25-44,2004,19337
More than one adult with children,90,25-44,2005,23998
More than one adult with children,90,25-44,2006,21174
More than one adult with children,90,25-44,2007,23653
More than one adult with children,90,25-44,2008,20110
More than one adult with children,90,25-44,2009,21623
More than one adult with children,90,25-44,2010,17600
More than one adult with children,90,25-44,2011,20418
More than one adult with children,90,25-44,2012,21012
More than one adult with children,90,25-44,2013,19426
More than one adult with children,90,25-44,2014,17666
More than one adult with children,90,25-44,2015,21522
More than one adult with children,90,25-44,2016,23138
More than one adult with children,90,25-44,2017,22698
More than one adult with children,90,25-44,2018,23417
More than one adult with children,90,25-44,2019,24463
More than one adult with children,90,25-44,2021,21669
More than one adult with children,90,25-44,2022,21806
More than one adult with children,90,25-44,2023,18382
More than one adult with children,90,45-64,2000,8666
More than one adult with children,90,45-64,2001,9569
More than one adult with children,90,45-64,2002,8637
More than one adult with children,90,45-64,2003,8345
More than one adult with children,90,45-64,2004,13169
More than one adult with children,90,45-64,2005,7635
More than one adult with children,90,45-64,2006,8451
More than one adult with children,90,45-64,2007,8646
More than one adult with children,90,45-64,2008,9661
More than one adult with children,90,45-64,2009,11405
More than one adult with children,90,45-64,2010,9642
More than one adult with children,90,45-64,2011,9224
More than one adult with children,90,45-64,2012,10784
More than one adult with children,90,45-64,2013,9307
More than one adult with children,90,45-64,2014,8664
More than one adult with children,90,45-64,2015,10510
More than one adult with children,90,45-64,2016,9918
More than one adult with children,90,45-64,2017,11593
More than one adult with children,90,45-64,2018,12157
More than one adult with children,90,45-64,2019,13376
More than one adult with children,90,45-64,2021,9049
More than one adult with children,90,45-64,2022,12238
More than one adult with children,90,45-64,2023,13290
More than one adult with children,90,65 and over,2000,1337
More than one adult with children,90,65 and over,2001,1110
More than one adult with children,90,65 and over,2002,1777
More than one adult with children,90,65 and over,2003,710
More than one adult with children,90,65 and over,2004,482
More than one adult with children,90,65 and over,2005,805
More than one adult with children,90,65 and over,2006,673
More than one adult with children,90,65 and over,2007,604
More than one adult with children,90,65 and over,2008,1462
More than one adult with children,90,65 and over,2009,1820
More than one adult with children,90,65 and over,2010,1817
More than one adult with children,90,65 and over,2011,925
More than one adult with children,90,65 and over,2012,1541
More than one adult with children,90,65 and over,2013,1659
More than one adult with children,90,65 and over,2014,3003
More than one adult with children,90,65 and over,2015,2257
More than one adult with children,90,65 and over,2016,2034
More than one adult with children,90,65 and over,2017,1738
More than one adult with children,90,65 and over,2018,2654
More than one adult with children,90,65 and over,2019,3010
More than one adult with children,90,65 and over,2021,2585
More than one adult with children,90,65 and over,2022,2961
More than one adult with children,90,65 and over,2023,3697
More than one adult with no children,90,Under 18,2000,NA
More than one adult with no children,90,Under 18,2001,NA
More than one adult with no children,90,Under 18,2002,827
More than one adult with no children,90,Under 18,2003,NA
More than one adult with no children,90,Under 18,2004,NA
More than one adult with no children,90,Under 18,2005,93
More than one adult with no children,90,Under 18,2006,NA
More than one adult with no children,90,Under 18,2007,NA
More than one adult with no children,90,Under 18,2008,NA
More than one adult with no children,90,Under 18,2009,NA
More than one adult with no children,90,Under 18,2010,41
More than one adult with no children,90,Under 18,2011,NA
More than one adult with no children,90,Under 18,2012,NA
More than one adult with no children,90,Under 18,2013,NA
More than one adult with no children,90,Under 18,2014,NA
More than one adult with no children,90,Under 18,2015,NA
More than one adult with no children,90,Under 18,2016,NA
More than one adult with no children,90,Under 18,2017,NA
More than one adult with no children,90,Under 18,2018,NA
More than one adult with no children,90,Under 18,2019,35
More than one adult with no children,90,Under 18,2021,NA
More than one adult with no children,90,Under 18,2022,NA
More than one adult with no children,90,Under 18,2023,NA
More than one adult with no children,90,18-24,2000,3239
More than one adult with no children,90,18-24,2001,6410
More than one adult with no children,90,18-24,2002,2212
More than one adult with no children,90,18-24,2003,3987
More than one adult with no children,90,18-24,2004,5639
More than one adult with no children,90,18-24,2005,4645
More than one adult with no children,90,18-24,2006,2734
More than one adult with no children,90,18-24,2007,2362
More than one adult with no children,90,18-24,2008,4575
More than one adult with no children,90,18-24,2009,3551
More than one adult with no children,90,18-24,2010,3882
More than one adult with no children,90,18-24,2011,2736
More than one adult with no children,90,18-24,2012,3888
More than one adult with no children,90,18-24,2013,1953
More than one adult with no children,90,18-24,2014,3511
More than one adult with no children,90,18-24,2015,2773
More than one adult with no children,90,18-24,2016,2608
More than one adult with no children,90,18-24,2017,5384
More than one adult with no children,90,18-24,2018,3710
More than one adult with no children,90,18-24,2019,5643
More than one adult with no children,90,18-24,2021,3812
More than one adult with no children,90,18-24,2022,5240
More than one adult with no children,90,18-24,2023,5555
More than one adult with no children,90,25-44,2000,9621
More than one adult with no children,90,25-44,2001,5077
More than one adult with no children,90,25-44,2002,7280
More than one adult with no children,90,25-44,2003,7842
More than one adult with no children,90,25-44,2004,10083
More than one adult with no children,90,25-44,2005,9567
More than one adult with no children,90,25-44,2006,9939
More than one adult with no children,90,25-44,2007,7296
More than one adult with no children,90,25-44,2008,9298
More than one adult with no children,90,25-44,2009,6966
More than one adult with no children,90,25-44,2010,9224
More than one adult with no children,90,25-44,2011,7311
More than one adult with no children,90,25-44,2012,7462
More than one adult with no children,90,25-44,2013,9662
More than one adult with no children,90,25-44,2014,9904
More than one adult with no children,90,25-44,2015,8130
More than one adult with no children,90,25-44,2016,11516
More than one adult with no children,90,25-44,2017,10277
More than one adult with no children,90,25-44,2018,11388
More than one adult with no children,90,25-44,2019,14056
More than one adult with no children,90,25-44,2021,13402
More than one adult with no children,90,25-44,2022,14124
More than one adult with no children,90,25-44,2023,15963
More than one adult with no children,90,45-64,2000,9241
More than one adult with no children,90,45-64,2001,11625
More than one adult with no children,90,45-64,2002,13015
More than one adult with no children,90,45-64,2003,12945
More than one adult with no children,90,45-64,2004,7282
More than one adult with no children,90,45-64,2005,11524
More than one adult with no children,90,45-64,2006,9685
More than one adult with no children,90,45-64,2007,11757
More than one adult with no children,90,45-64,2008,11983
More than one adult with no children,90,45-64,2009,8724
More than one adult with no children,90,45-64,2010,10801
More than one adult with no children,90,45-64,2011,11972
More than one adult with no children,90,45-64,2012,13240
More than one adult with no children,90,45-64,2013,11822
More than one adult with no children,90,45-64,2014,13714
More than one adult with no children,90,45-64,2015,10524
More than one adult with no children,90,45-64,2016,12854
More than one adult with no children,90,45-64,2017,12570
More than one adult with no children,90,45-64,2018,13563
More than one adult with no children,90,45-64,2019,13970
More than one adult with no children,90,45-64,2021,9498
More than one adult with no children,90,45-64,2022,12336
More than one adult with no children,90,45-64,2023,11595
More than one adult with no children,90,65 and over,2000,8589
More than one adult with no children,90,65 and over,2001,6926
More than one adult with no children,90,65 and over,2002,8965
More than one adult with no children,90,65 and over,2003,9059
More than one adult with no children,90,65 and over,2004,11455
More than one adult with no children,90,65 and over,2005,9635
More than one adult with no children,90,65 and over,2006,9581
More than one adult with no children,90,65 and over,2007,9898
More than one adult with no children,90,65 and over,2008,8429
More than one adult with no children,90,65 and over,2009,9421
More than one adult with no children,90,65 and over,2010,11099
More than one adult with no children,90,65 and over,2011,10159
More than one adult with no children,90,65 and over,2012,11609
More than one adult with no children,90,65 and over,2013,10709
More than one adult with no children,90,65 and over,2014,13004
More than one adult with no children,90,65 and over,2015,12729
More than one adult with no children,90,65 and over,2016,15427
More than one adult with no children,90,65 and over,2017,11925
More than one adult with no children,90,65 and over,2018,15469
More than one adult with no children,90,65 and over,2019,15022
More than one adult with no children,90,65 and over,2021,16649
More than one adult with no children,90,65 and over,2022,15531
More than one adult with no children,90,65 and over,2023,20311
One adult with children,90,18-24,2000,NA
One adult with children,90,18-24,2001,NA
One adult with children,90,18-24,2002,NA
One adult with children,90,18-24,2003,NA
One adult with children,90,18-24,2004,NA
One adult with children,90,18-24,2005,NA
One adult with children,90,18-24,2006,NA
One adult with children,90,18-24,2007,60
One adult with children,90,18-24,2008,91
One adult with children,90,18-24,2009,NA
One adult with children,90,18-24,2010,137
One adult with children,90,18-24,2011,290
One adult with children,90,18-24,2012,NA
One adult with children,90,18-24,2013,NA
One adult with children,90,18-24,2014,NA
One adult with children,90,18-24,2015,241
One adult with children,90,18-24,2016,NA
One adult with children,90,18-24,2017,NA
One adult with children,90,18-24,2018,NA
One adult with children,90,18-24,2019,NA
One adult with children,90,18-24,2021,NA
One adult with children,90,18-24,2022,NA
One adult with children,90,18-24,2023,NA
One adult with children,90,25-44,2000,3342
One adult with children,90,25-44,2001,5134
One adult with children,90,25-44,2002,5429
One adult with children,90,25-44,2003,4179
One adult with children,90,25-44,2004,7276
One adult with children,90,25-44,2005,3023
One adult with children,90,25-44,2006,5050
One adult with children,90,25-44,2007,3667
One adult with children,90,25-44,2008,4607
One adult with children,90,25-44,2009,3311
One adult with children,90,25-44,2010,4511
One adult with children,90,25-44,2011,4017
One adult with children,90,25-44,2012,3222
One adult with children,90,25-44,2013,3327
One adult with children,90,25-44,2014,2569
One adult with children,90,25-44,2015,4386
One adult with children,90,25-44,2016,3959
One adult with children,90,25-44,2017,2108
One adult with children,90,25-44,2018,4982
One adult with children,90,25-44,2019,2802
One adult with children,90,25-44,2021,3132
One adult with children,90,25-44,2022,3011
One adult with children,90,25-44,2023,3534
One adult with children,90,45-64,2000,3051
One adult with children,90,45-64,2001,3186
One adult with children,90,45-64,2002,3581
One adult with children,90,45-64,2003,2958
One adult with children,90,45-64,2004,4426
One adult with children,90,45-64,2005,3255
One adult with children,90,45-64,2006,3801
One adult with children,90,45-64,2007,2961
One adult with children,90,45-64,2008,3396
One adult with children,90,45-64,2009,2765
One adult with children,90,45-64,2010,4627
One adult with children,90,45-64,2011,2648
One adult with children,90,45-64,2012,3584
One adult with children,90,45-64,2013,4000
One adult with children,90,45-64,2014,3318
One adult with children,90,45-64,2015,3431
One adult with children,90,45-64,2016,3302
One adult with children,90,45-64,2017,4288
One adult with children,90,45-64,2018,4200
One adult with children,90,45-64,2019,3865
One adult with children,90,45-64,2021,4568
One adult with children,90,45-64,2022,4325
One adult with children,90,45-64,2023,3880
One adult with children,90,65 and over,2000,994
One adult with children,90,65 and over,2001,1346
One adult with children,90,65 and over,2002,625
One adult with children,90,65 and over,2003,528
One adult with children,90,65 and over,2004,806
One adult with children,90,65 and over,2005,323
One adult with children,90,65 and over,2006,441
One adult with children,90,65 and over,2007,521
One adult with children,90,65 and over,2008,815
One adult with children,90,65 and over,2009,563
One adult with children,90,65 and over,2010,946
One adult with children,90,65 and over,2011,1903
One adult with children,90,65 and over,2012,760
One adult with children,90,65 and over,2013,781
One adult with children,90,65 and over,2014,1714
One adult with children,90,65 and over,2015,1145
One adult with children,90,65 and over,2016,1874
One adult with children,90,65 and over,2017,1780
One adult with children,90,65 and over,2018,1852
One adult with children,90,65 and over,2019,869
One adult with children,90,65 and over,2021,1329
One adult with children,90,65 and over,2022,2025
One adult with children,90,65 and over,2023,2302
One adult with no children	,90,Under 18,2000,NA
One adult with no children	,90,Under 18,2001,NA
One adult with no children	,90,Under 18,2002,NA
One adult with no children	,90,Under 18,2003,NA
One adult with no children	,90,Under 18,2004,NA
One adult with no children	,90,Under 18,2005,NA
One adult with no children	,90,Under 18,2006,NA
One adult with no children	,90,Under 18,2007,NA
One adult with no children	,90,Under 18,2008,NA
One adult with no children	,90,Under 18,2009,NA
One adult with no children	,90,Under 18,2010,NA
One adult with no children	,90,Under 18,2011,NA
One adult with no children	,90,Under 18,2012,NA
One adult with no children	,90,Under 18,2013,NA
One adult with no children	,90,Under 18,2014,NA
One adult with no children	,90,Under 18,2015,NA
One adult with no children	,90,Under 18,2016,62
One adult with no children	,90,Under 18,2017,NA
One adult with no children	,90,Under 18,2018,NA
One adult with no children	,90,Under 18,2019,NA
One adult with no children	,90,Under 18,2021,NA
One adult with no children	,90,Under 18,2022,NA
One adult with no children	,90,Under 18,2023,NA
One adult with no children	,90,18-24,2000,814
One adult with no children	,90,18-24,2001,1469
One adult with no children	,90,18-24,2002,414
One adult with no children	,90,18-24,2003,1162
One adult with no children	,90,18-24,2004,1434
One adult with no children	,90,18-24,2005,1280
One adult with no children	,90,18-24,2006,519
One adult with no children	,90,18-24,2007,1788
One adult with no children	,90,18-24,2008,1218
One adult with no children	,90,18-24,2009,628
One adult with no children	,90,18-24,2010,1781
One adult with no children	,90,18-24,2011,849
One adult with no children	,90,18-24,2012,1023
One adult with no children	,90,18-24,2013,378
One adult with no children	,90,18-24,2014,1487
One adult with no children	,90,18-24,2015,506
One adult with no children	,90,18-24,2016,979
One adult with no children	,90,18-24,2017,663
One adult with no children	,90,18-24,2018,2124
One adult with no children	,90,18-24,2019,315
One adult with no children	,90,18-24,2021,1969
One adult with no children	,90,18-24,2022,1418
One adult with no children	,90,18-24,2023,1241
One adult with no children	,90,25-44,2000,12014
One adult with no children	,90,25-44,2001,14083
One adult with no children	,90,25-44,2002,12224
One adult with no children	,90,25-44,2003,13335
One adult with no children	,90,25-44,2004,14795
One adult with no children	,90,25-44,2005,11309
One adult with no children	,90,25-44,2006,11833
One adult with no children	,90,25-44,2007,12279
One adult with no children	,90,25-44,2008,12315
One adult with no children	,90,25-44,2009,12313
One adult with no children	,90,25-44,2010,12290
One adult with no children	,90,25-44,2011,11495
One adult with no children	,90,25-44,2012,10753
One adult with no children	,90,25-44,2013,9471
One adult with no children	,90,25-44,2014,7939
One adult with no children	,90,25-44,2015,8422
One adult with no children	,90,25-44,2016,11450
One adult with no children	,90,25-44,2017,14311
One adult with no children	,90,25-44,2018,16576
One adult with no children	,90,25-44,2019,8754
One adult with no children	,90,25-44,2021,13223
One adult with no children	,90,25-44,2022,14823
One adult with no children	,90,25-44,2023,18938
One adult with no children	,90,45-64,2000,10134
One adult with no children	,90,45-64,2001,8762
One adult with no children	,90,45-64,2002,9453
One adult with no children	,90,45-64,2003,11159
One adult with no children	,90,45-64,2004,9757
One adult with no children	,90,45-64,2005,11481
One adult with no children	,90,45-64,2006,12160
One adult with no children	,90,45-64,2007,17471
One adult with no children	,90,45-64,2008,12862
One adult with no children	,90,45-64,2009,12571
One adult with no children	,90,45-64,2010,12914
One adult with no children	,90,45-64,2011,13487
One adult with no children	,90,45-64,2012,12827
One adult with no children	,90,45-64,2013,11323
One adult with no children	,90,45-64,2014,8561
One adult with no children	,90,45-64,2015,10466
One adult with no children	,90,45-64,2016,11185
One adult with no children	,90,45-64,2017,14023
One adult with no children	,90,45-64,2018,14769
One adult with no children	,90,45-64,2019,7571
One adult with no children	,90,45-64,2021,9916
One adult with no children	,90,45-64,2022,8360
One adult with no children	,90,45-64,2023,12190
One adult with no children	,90,65 and over,2000,5031
One adult with no children	,90,65 and over,2001,3934
One adult with no children	,90,65 and over,2002,3626
One adult with no children	,90,65 and over,2003,6111
One adult with no children	,90,65 and over,2004,4436
One adult with no children	,90,65 and over,2005,4961
One adult with no children	,90,65 and over,2006,4477
One adult with no children	,90,65 and over,2007,6182
One adult with no children	,90,65 and over,2008,4789
One adult with no children	,90,65 and over,2009,8036
One adult with no children	,90,65 and over,2010,5526
One adult with no children	,90,65 and over,2011,6548
One adult with no children	,90,65 and over,2012,8306
One adult with no children	,90,65 and over,2013,8636
One adult with no children	,90,65 and over,2014,5331
One adult with no children	,90,65 and over,2015,8368
One adult with no children	,90,65 and over,2016,9629
One adult with no children	,90,65 and over,2017,9532
One adult with no children	,90,65 and over,2018,10290
One adult with no children	,90,65 and over,2019,9501
One adult with no children	,90,65 and over,2021,8640
One adult with no children	,90,65 and over,2022,10625
One adult with no children	,90,65 and over,2023,8914
More than one adult with children,100,18-24,2000,1066
More than one adult with children,100,18-24,2001,444
More than one adult with children,100,18-24,2002,1349
More than one adult with children,100,18-24,2003,512
More than one adult with children,100,18-24,2004,327
More than one adult with children,100,18-24,2005,332
More than one adult with children,100,18-24,2006,762
More than one adult with children,100,18-24,2007,702
More than one adult with children,100,18-24,2008,208
More than one adult with children,100,18-24,2009,832
More than one adult with children,100,18-24,2010,568
More than one adult with children,100,18-24,2011,628
More than one adult with children,100,18-24,2012,990
More than one adult with children,100,18-24,2013,188
More than one adult with children,100,18-24,2014,181
More than one adult with children,100,18-24,2015,550
More than one adult with children,100,18-24,2016,520
More than one adult with children,100,18-24,2017,912
More than one adult with children,100,18-24,2018,919
More than one adult with children,100,18-24,2019,790
More than one adult with children,100,18-24,2021,1093
More than one adult with children,100,18-24,2022,875
More than one adult with children,100,18-24,2023,762
More than one adult with children,100,25-44,2000,25575
More than one adult with children,100,25-44,2001,19488
More than one adult with children,100,25-44,2002,25724
More than one adult with children,100,25-44,2003,27257
More than one adult with children,100,25-44,2004,19241
More than one adult with children,100,25-44,2005,20832
More than one adult with children,100,25-44,2006,19145
More than one adult with children,100,25-44,2007,19204
More than one adult with children,100,25-44,2008,20589
More than one adult with children,100,25-44,2009,18021
More than one adult with children,100,25-44,2010,18370
More than one adult with children,100,25-44,2011,18852
More than one adult with children,100,25-44,2012,15983
More than one adult with children,100,25-44,2013,17621
More than one adult with children,100,25-44,2014,15979
More than one adult with children,100,25-44,2015,17473
More than one adult with children,100,25-44,2016,19645
More than one adult with children,100,25-44,2017,20156
More than one adult with children,100,25-44,2018,20946
More than one adult with children,100,25-44,2019,22416
More than one adult with children,100,25-44,2021,24226
More than one adult with children,100,25-44,2022,20600
More than one adult with children,100,25-44,2023,22564
More than one adult with children,100,45-64,2000,10253
More than one adult with children,100,45-64,2001,6644
More than one adult with children,100,45-64,2002,11357
More than one adult with children,100,45-64,2003,7580
More than one adult with children,100,45-64,2004,10982
More than one adult with children,100,45-64,2005,9660
More than one adult with children,100,45-64,2006,6290
More than one adult with children,100,45-64,2007,7977
More than one adult with children,100,45-64,2008,8774
More than one adult with children,100,45-64,2009,9293
More than one adult with children,100,45-64,2010,10321
More than one adult with children,100,45-64,2011,9891
More than one adult with children,100,45-64,2012,10588
More than one adult with children,100,45-64,2013,9156
More than one adult with children,100,45-64,2014,8301
More than one adult with children,100,45-64,2015,11231
More than one adult with children,100,45-64,2016,12406
More than one adult with children,100,45-64,2017,10943
More than one adult with children,100,45-64,2018,10661
More than one adult with children,100,45-64,2019,12026
